keyword_type,cluster,ad_group,keyword,recommended_match_type,search_intent,landing_page,priority,keyword_planner_avg_monthly_searches,keyword_planner_competition,keyword_planner_low_top_of_page_bid,keyword_planner_high_top_of_page_bid,decision,notes
standard,面接・ケース面接対策,面接対策,コンサル 面接 対策,phrase,面接対策を探している,consulting-career,high,,,,,pending,
standard,面接・ケース面接対策,ケース面接対策,ケース面接 対策,phrase,ケース面接対策を探している,consulting-career,high,,,,,pending,
standard,面接・ケース面接対策,ケース面接対策,ケース面接 転職,phrase,転職のケース面接対策,consulting-career,high,,,,,pending,
standard,面接・ケース面接対策,ケース面接対策,ケース面接 練習,phrase,ケース面接の練習相手を探している,consulting-career,high,,,,,pending,
standard,面接・ケース面接対策,ケース面接対策,フェルミ推定 面接,phrase,ケース面接の個別対策,consulting-career,medium,,,,,pending,
standard,面接・ケース面接対策,応募書類対策,コンサル 職務経歴書,phrase,応募書類の対策を探している,consulting-career,medium,,,,,pending,
standard,面接・ケース面接対策,応募書類対策,コンサル 志望動機,phrase,志望動機の対策を探している,consulting-career,medium,,,,,pending,
negative,除外候補,新卒・就活,コンサル 新卒,phrase,新卒採用意向,none,high,,,,,pending,中途転職LPの対象外
negative,除外候補,新卒・就活,コンサル 就活,phrase,就職活動意向,none,high,,,,,pending,中途転職LPの対象外
negative,除外候補,新卒・就活,コンサル インターン,phrase,インターン探し,none,high,,,,,pending,中途転職LPの対象外
negative,除外候補,学習・教材,ケース面接 本,phrase,教材購入意向,none,medium,,,,,pending,サービス申込意向と異なる可能性
negative,除外候補,学習・教材,ケース面接 問題集,phrase,教材購入意向,none,medium,,,,,pending,サービス申込意向と異なる可能性
negative,除外候補,資格・学習,コンサル 資格,phrase,資格取得意向,none,medium,,,,,pending,転職相談と異なる可能性
negative,除外候補,求人以外,コンサル 仕事内容,phrase,情報収集のみの可能性,none,low,,,,,pending,検索語句を見て除外判断
negative,除外候補,求人以外,コンサル 年収,phrase,年収情報の収集,none,low,,,,,pending,転職意向があれば残す
